correct value,prediction
1.0,1.5552478
1.0,0.84470147
1.0,0.43180847
0.0,0.24062854
1.0,1.114052
1.0,0.4367004
1.0,0.34262797
0.0,0.20881522
0.0,0.24459276
1.0,0.41122442
1.0,0.49284977
1.0,2.1174288
1.0,1.584676
1.0,1.5669284
0.0,0.25990826
1.0,0.38199311
1.0,1.1678865
1.0,0.42821974
0.0,0.2466082
1.0,0.6400679
1.0,0.9655084
0.0,0.30003494
0.0,0.1784758
1.0,0.38947278
1.0,0.8943103
1.0,0.5144847
0.0,0.28619844
0.0,0.15038288
0.0,0.30427086
0.0,0.27673072
1.0,0.851692
1.0,0.6957088
1.0,0.4358827
1.0,1.4864914
1.0,0.51784027
1.0,1.0848172
0.0,0.16687328
0.0,0.22469491
0.0,0.3194604
0.0,0.18963242
1.0,0.39575046
1.0,1.6849957
1.0,0.67316705
1.0,0.50253606
1.0,0.43827444
0.0,0.23875052
1.0,0.4577468
1.0,0.37939894
1.0,0.84114975
1.0,0.70415336
1.0,2.0349894
0.0,0.13617504
0.0,0.27664807
0.0,0.32257468
1.0,0.7214921
1.0,0.40427917
0.0,0.31347913
1.0,0.651251
1.0,0.6587206
1.0,1.139519
1.0,0.79584163
0.0,0.26293164
0.0,0.17120337
1.0,0.57940376
0.0,0.28326058
1.0,1.3643441
1.0,0.6988084
1.0,1.2119689
0.0,0.31612554
1.0,0.40819174
1.0,0.532093
1.0,1.8560448
0.0,0.26455218
1.0,0.49389744
1.0,1.5968986
0.0,0.26224416
1.0,0.5655528
0.0,0.2613259
1.0,0.86834437
1.0,0.32851005
0.0,0.21829015
1.0,1.5766201
0.0,0.18143046
1.0,0.7000247
1.0,0.4474662
1.0,0.74345547
1.0,0.77726686
1.0,0.41209972
1.0,1.1117029
1.0,0.40625864
1.0,1.2359934
0.0,0.35611883
1.0,1.0266263
1.0,1.2639644
1.0,0.93381613
1.0,0.39519686
1.0,2.2654002
1.0,0.80931634
1.0,0.81590736
1.0,0.37461275
